t,cum_loss_algo,cum_loss_bfph,cum_regret,sqrt_t_bound_c1
352,-3.4859357150210912,0.0,-3.4859357150210912,18.76166303929372
353,-3.496625605377214,0.0,-3.496625605377214,18.788294228055936
354,-3.5139427897611113,0.0,-3.5139427897611113,18.81488772222678
355,-3.5199341249584917,0.0,-3.5199341249584917,18.841443681416774
356,-3.529782323689013,0.0,-3.529782323689013,18.867962264113206
357,-3.541673917888072,0.0,-3.541673917888072,18.894443627691185
358,-3.5488056434434374,0.0,-3.5488056434434374,18.920887928424502
359,-3.5584373400269946,0.0,-3.5584373400269946,18.947295321496416
360,-3.566804596713411,0.0,-3.566804596713411,18.973665961010276
361,-3.575565124030571,0.0,-3.575565124030571,19.0
362,-3.582407191139114,0.0,-3.582407191139114,19.026297590440446
363,-3.601654891562575,0.0,-3.601654891562575,19.05255888325765
364,-3.6142836713141264,0.0,-3.6142836713141264,19.078784028338912
365,-3.615786456566092,0.0,-3.615786456566092,19.1049731745428
366,-3.6304242679090915,0.0,-3.6304242679090915,19.131126469708992
367,-3.6364206932005554,0.0,-3.6364206932005554,19.157244060668017
368,-3.640387445232831,0.0,-3.640387445232831,19.183326093250876
369,-3.6448740364526535,0.0,-3.6448740364526535,19.209372712298546
370,-3.66290131227789,0.0,-3.66290131227789,19.235384061671343
371,-3.6692036725531803,0.0,-3.6692036725531803,19.261360284258224
372,-3.6813346975857324,0.0,-3.6813346975857324,19.28730152198591
373,-3.706954702210666,0.0,-3.706954702210666,19.313207915827967
374,-3.7199860261219753,0.0,-3.7199860261219753,19.339079605813716
375,-3.7267729072518727,0.0,-3.7267729072518727,19.364916731037084
376,-3.7384091532554726,0.0,-3.7384091532554726,19.390719429665317
377,-3.7479327888800666,0.0,-3.7479327888800666,19.4164878389476
378,-3.7684468390323818,0.0,-3.7684468390323818,19.44222209522358
379,-3.773269249856745,0.0,-3.773269249856745,19.467922333931785
380,-3.786201182699065,0.0,-3.786201182699065,19.493588689617926
381,-3.7897572003082916,0.0,-3.7897572003082916,19.519221295943137
382,-3.7987353411389666,0.0,-3.7987353411389666,19.544820285692065
383,-3.8045229433839607,0.0,-3.8045229433839607,19.570385790780925
384,-3.825688508604725,0.0,-3.825688508604725,19.595917942265423
385,-3.8344040970032145,0.0,-3.8344040970032145,19.621416870348583
386,-3.8466028969617634,0.0,-3.8466028969617634,19.6468827043885
387,-3.8527034177139012,0.0,-3.8527034177139012,19.672315572906
388,-3.863481657576838,0.0,-3.863481657576838,19.697715603592208
389,-3.872734076519371,0.0,-3.872734076519371,19.72308292331602
390,-3.88171840433494,0.0,-3.88171840433494,19.748417658131498
391,-3.8894238616103367,0.0,-3.8894238616103367,19.77371993328519
392,-3.9062928474047336,0.0,-3.9062928474047336,19.79898987322333
393,-3.9257126848364443,0.0,-3.9257126848364443,19.82422760159901
394,-3.939215417497107,0.0,-3.939215417497107,19.849433241279208
395,-3.9479395483402513,0.0,-3.9479395483402513,19.87460691435179
396,-3.959729210758283,0.0,-3.959729210758283,19.8997487421324
397,-3.9839494003489095,0.0,-3.9839494003489095,19.924858845171276
398,-3.990470610223545,0.0,-3.990470610223545,19.949937343260004
399,-4.00191761657276,-0.0016889240371452253,-4.0002286925356145,19.974984355438178
400,-4.0057930983842285,0.0,-4.0057930983842285,20.0
401,-4.0185524485541375,0.0,-4.0185524485541375,20.024984394500787
402,-4.025327892261653,0.0,-4.025327892261653,20.049937655763422
403,-4.039875780686025,0.0,-4.039875780686025,20.074859899884732
404,-4.052273760290492,-0.003057783543047374,-4.049215976747445,20.09975124224178
